"Step","pca_resnet - episode_reward","pca_resnet - episode_reward__MIN","pca_resnet - episode_reward__MAX","complete_frozen_low_lr - episode_reward","complete_frozen_low_lr - episode_reward__MIN","complete_frozen_low_lr - episode_reward__MAX","cnn_scratch - episode_reward","cnn_scratch - episode_reward__MIN","cnn_scratch - episode_reward__MAX"
"3818","","","","","","","","",""
"3836","","","","","","","","",""
"3849","","","","","","","","",""
"3857","","","","","","","","",""
"3871","","","","","","","","",""
"3878","","","","","","","","",""
"3887","","","","","","","","",""
"3892","","","","","","","","",""
"3910","","","","","","","","",""
"3921","","","","","","","","",""
"3958","","","","","","","","",""
"3974","","","","","","","","",""
"3993","","","","","","","","",""
"4009","","","","","","","","",""
"4012","","","","","","","","",""
"4016","","","","","","","","",""
"4021","","","","","","","","",""
"4032","","","","","","","","",""
"4054","","","","","","","","",""
"4099","0.15889857699781568","0.15889857699781568","0.15889857699781568","0.16902409130509025","0.16902409130509025","0.16902409130509025","0.07867755262006623","0.07867755262006623","0.07867755262006623"
"4101","","","","","","","","",""
"4114","","","","","","","","",""
"4131","","","","","","","","",""
"4148","","","","","","","","",""
"4162","","","","","","","","",""
"4163","","","","","","","","",""
"4175","","","","","","","","",""
"4184","","","","","","","","",""
"4212","","","","","","","","",""
"4213","","","","","","","","",""
"4281","","","","","","","","",""
"4321","","","","","","","","",""
"4337","","","","","","","","",""
"4349","","","","","","","","",""
"4369","","","","","","","","",""
"4392","","","","","","","","",""
"4402","","","","","","","","",""
"4420","","","","","","","","",""
"4424","","","","","","","","",""
"4425","","","","","","","","",""
"4443","","","","","","","","",""
"4447","","","","","","","","",""
"4453","","","","","","","","",""
"4481","","","","","","","","",""
"4487","","","","","","","","",""
"4489","","","","","","","","",""
"4505","","","","","","","","",""
"4526","","","","","","","","",""
"4527","","","","","","","","",""
"4579","","","","","","","","",""
"4609","","","","","","","","",""
"4631","","","","","","","","",""
"4648","","","","","","","","",""
"4650","","","","","","","","",""
"4651","","","","","","","","",""
"4659","","","","","","","","",""
"4666","","","","","","","","",""
"4672","","","","","","","","",""
"4735","","","","","","","","",""
"4774","","","","","","","","",""
"4799","","","","","","","","",""
"4890","","","","","","","","",""
"4935","","","","","","","","",""
"4979","","","","","","","","",""
"5004","","","","","","","","",""
"5019","","","","","","","","",""
"5035","","","","","","","","",""
"5038","","","","","","","","",""
"5041","","","","","","","","",""
"5056","","","","","","","","",""
"5065","","","","","","","","",""
"5076","","","","","","","","",""
"5124","0.1714341678301118","0.1714341678301118","0.1714341678301118","0.16941259027480826","0.16941259027480826","0.16941259027480826","0.13285651665785955","0.13285651665785955","0.13285651665785955"
"5140","","","","","","","","",""
"5164","","","","","","","","",""
"5168","","","","","","","","",""
"5218","","","","","","","","",""
"5240","","","","","","","","",""
"5248","","","","","","","","",""
"5266","","","","","","","","",""
"5294","","","","","","","","",""
"5313","","","","","","","","",""
"5327","","","","","","","","",""
"5336","","","","","","","","",""
"5346","","","","","","","","",""
"5348","","","","","","","","",""
"5360","","","","","","","","",""
"5369","","","","","","","","",""
"5388","","","","","","","","",""
"5390","","","","","","","","",""
"5396","","","","","","","","",""
"5419","","","","","","","","",""
"5438","","","","","","","","",""
"5473","","","","","","","","",""
"5483","","","","","","","","",""
"5520","","","","","","","","",""
"5544","","","","","","","","",""
"5570","","","","","","","","",""
"5581","","","","","","","","",""
"5593","","","","","","","","",""
"5596","","","","","","","","",""
"5604","","","","","","","","",""
"5644","","","","","","","","",""
"5653","","","","","","","","",""
"5661","","","","","","","","",""
"5714","","","","","","","","",""
"5741","","","","","","","","",""
"5755","","","","","","","","",""
"5769","","","","","","","","",""
"5773","","","","","","","","",""
"5778","","","","","","","","",""
"5817","","","","","","","","",""
"5824","","","","","","","","",""
"5847","","","","","","","","",""
"5904","","","","","","","","",""
"5909","","","","","","","","",""
"5937","","","","","","","","",""
"5947","","","","","","","","",""
"5956","","","","","","","","",""
"5972","","","","","","","","",""
"6007","","","","","","","","",""
"6023","","","","","","","","",""
"6026","","","","","","","","",""
"6076","","","","","","","","",""
"6087","","","","","","","","",""
"6089","","","","","","","","",""
"6125","","","","","","","","",""
"6137","","","","","","","","",""
"6139","","","","","","","","",""
"6149","0.17107081089375561","0.17107081089375561","0.17107081089375561","0.1858494365696643","0.1858494365696643","0.1858494365696643","0.09812185895325946","0.09812185895325946","0.09812185895325946"
"6196","","","","","","","","",""
"6208","","","","","","","","",""
"6221","","","","","","","","",""
"6232","","","","","","","","",""
"6243","","","","","","","","",""
"6297","","","","","","","","",""
"6312","","","","","","","","",""
"6318","","","","","","","","",""
"6322","","","","","","","","",""
"6334","","","","","","","","",""
"6351","","","","","","","","",""
"6357","","","","","","","","",""
"6370","","","","","","","","",""
"6387","","","","","","","","",""
"6440","","","","","","","","",""
"6442","","","","","","","","",""
"6447","","","","","","","","",""
"6455","","","","","","","","",""
"6484","","","","","","","","",""
"6495","","","","","","","","",""
"6534","","","","","","","","",""
"6551","","","","","","","","",""
"6552","","","","","","","","",""
"6565","","","","","","","","",""
"6603","","","","","","","","",""
"6627","","","","","","","","",""
"6630","","","","","","","","",""
"6644","","","","","","","","",""
"6659","","","","","","","","",""
"6673","","","","","","","","",""
"6676","","","","","","","","",""
"6691","","","","","","","","",""
"6692","","","","","","","","",""
"6695","","","","","","","","",""
"6700","","","","","","","","",""
"6742","","","","","","","","",""
"6749","","","","","","","","",""
"6759","","","","","","","","",""
"6763","","","","","","","","",""
